Student_Name,College_Name,Stream,Year_of_Study,AI_Tools_Used,Daily_Usage_Hours,Use_Cases,Trust_in_AI_Tools,Impact_on_Grades,Do_Professors_Allow_Use,Preferred_AI_Tool,Awareness_Level,Willing_to_Pay_for_Access,State,Device_Used,Internet_Access,Primary_AI_Tool,Num_AI_Tools_Used,Academic_Use_Flag,Usage_Bucket
Aarav,Indian Institute Of Information Technology,Engineering,4,Gemini,0.9,"Assignments, Coding Help",2,2,False,Copilot,9,True,Uttar Pradesh,Mobile,Poor,Gemini,1,True,Low (<1h)
Vivaan,"Government Ram Bhajan Rai Nes College, Jashpur",Commerce,2,ChatGPT,3.4,Learning new topics,3,-3,True,Other,6,False,Chhattisgarh,Laptop,Poor,ChatGPT,1,True,High (3h+)
Aditya,Dolphin Pg Institute Of Biomedical & Natural,Science,2,Copilot,3.6,"MCQ Practice, Projects",5,0,False,Gemini,1,False,Uttarakhand,Tablet,Poor,Copilot,1,False,High (3h+)
Vihaan,Shaheed Rajguru College Of Applied Sciences For,Arts,2,Copilot,2.9,Content Writing,5,2,True,Gemini,5,False,Delhi Ncr,Laptop,High,Copilot,1,False,Medium (1-3h)
Arjun,Roorkee College Of Engineering,Science,1,Gemini,0.9,"Doubt Solving, Resume Writing",1,3,True,Other,8,True,Uttarakhand,Laptop,Medium,Gemini,1,False,Low (<1h)
Sai,Kanya Mahavidyalaya,Commerce,2,Gemini,0.8,"Doubt Solving, Resume Writing",2,-2,True,Gemini,7,False,Punjab,Laptop,High,Gemini,1,False,Low (<1h)
Reyansh,Shivalik Institute Of Paramedical Technology,Medical,1,"ChatGPT, Gemini, Copilot",2.2,"Assignments, Coding Help",1,-1,True,Other,2,False,Chandigarh,Mobile,Medium,ChatGPT,3,True,Medium (1-3h)
Ayaan,"Alpha College Of Engineering & Technology, Pondicherry",Engineering,4,"ChatGPT, Copilot",2.4,"Exam Prep, Notes",2,-2,True,Copilot,5,True,Puducherry,Mobile,High,ChatGPT,2,False,Medium (1-3h)
Krishna,"Jaipur Engineering College And Research Centre, Jaipur",Engineering,4,"ChatGPT, Copilot",2.1,"MCQ Practice, Projects",2,-2,True,Copilot,8,True,Rajasthan,Laptop,Poor,ChatGPT,2,False,Medium (1-3h)
Ishaan,"Icfai University, Shillong",Commerce,2,Gemini,1.4,Content Writing,3,-2,False,Gemini,3,True,Meghalaya,Laptop,High,Gemini,1,False,Medium (1-3h)
Rudra,Kanchi Mamunivar Centre For Post Graduate Studies,Arts,2,Copilot,1.0,Learning new topics,5,1,False,Copilot,10,True,Puducherry,Tablet,High,Copilot,1,True,Low (<1h)
Dhruv,Jharkhand Rai University,Medical,2,ChatGPT,1.2,"Exam Prep, Notes",4,-2,True,Other,7,True,Jharkhand,Laptop,Poor,ChatGPT,1,False,Medium (1-3h)
Kabir,"Christ Church College -[Ccc], Kanpur",Arts,3,"ChatGPT, Gemini, Copilot",4.4,"Assignments, Coding Help",3,-3,True,Copilot,9,True,Uttar Pradesh,Tablet,High,ChatGPT,3,True,High (3h+)
Atharv,Neville Wadia Institute Of Management Studies And,Management,2,"Gemini, Midjourney",3.6,"Exam Prep, Notes",1,3,False,Copilot,10,True,Maharashtra,Tablet,Poor,Gemini,2,False,High (3h+)
Om,Indian Institute Of Technology Madras,Engineering,3,"ChatGPT, Gemini, Copilot",4.1,"MCQ Practice, Projects",2,3,True,Gemini,7,False,Tamil Nadu,Laptop,Poor,ChatGPT,3,False,High (3h+)
Anaya,"United College, Chandel",Arts,2,ChatGPT,4.3,Content Writing,4,-2,False,Copilot,1,True,Manipur,Mobile,Poor,ChatGPT,1,False,High (3h+)
Siya,Shivalik Institute Of Paramedical Technology,Management,3,ChatGPT,2.5,Learning new topics,2,-2,False,ChatGPT,5,False,Chandigarh,Laptop,Medium,ChatGPT,1,True,Medium (1-3h)
Diya,Chandigarh University,Law,2,"Gemini, Midjourney",3.2,Content Writing,2,-3,False,Copilot,9,True,Punjab,Mobile,Medium,Gemini,2,False,High (3h+)
Myra,Apex Professional University,Management,3,ChatGPT,3.7,"Doubt Solving, Resume Writing",3,1,True,ChatGPT,10,True,Arunachal Pradesh,Tablet,Medium,ChatGPT,1,False,High (3h+)
Aadhya,Madhav University,Pharmacy,1,Gemini,4.4,"MCQ Practice, Projects",1,2,False,Copilot,4,False,Rajasthan,Mobile,High,Gemini,1,False,High (3h+)
Riya,National Institute Of Fashion Technology,Management,2,"ChatGPT, Gemini, Copilot",3.8,"MCQ Practice, Projects",5,-2,False,Copilot,4,False,Meghalaya,Laptop,High,ChatGPT,3,False,High (3h+)
Pari,King George'S Medical University,Medical,2,"ChatGPT, Gemini, Copilot",4.2,"Doubt Solving, Resume Writing",3,-2,True,ChatGPT,7,True,Uttar Pradesh,Laptop,Poor,ChatGPT,3,False,High (3h+)
Anika,"Loyola Academy Degree And Pg College, Secunderabad",Agriculture,1,ChatGPT,3.4,"MCQ Practice, Projects",1,0,True,Copilot,1,True,Telangana,Laptop,High,ChatGPT,1,False,High (3h+)
Ira,Royal College Of Pharmacy & Health Sciences,Pharmacy,3,"Gemini, Midjourney",4.4,"Assignments, Coding Help",2,0,False,Other,3,True,Orissa,Tablet,Medium,Gemini,2,True,High (3h+)
